original,original_chord,simple2,simple3,simple1,simple7,simple6,viterbi4,viterbi4_chords,viterbi8,viterbi8_chords
-1000,1000,1000,1000,1000,1000,1000,60,Cmajor,62,Gmajor
-1000,1000,1000,1000,1000,1000,1000,62,Gmajor,67,Eminor
-1000,1000,1000,1000,1000,1000,1000,60,Cmajor,64,Aminor
67,Cmajor,64,60,67,67,67,62,Gmajor,62,Dmajor
67,Gmajor,62,59,62,67,67,67,Cmajor,62,Gmajor
64,Aminor,60,60,64,64,64,67,Cmajor,64,Gmajor
62,Gmajor,62,59,62,62,62,60,Fmajor,60,Cmajor
64,Cmajor,60,60,60,64,64,62,Gmajor,62,Dminor
60,Fmajor,60,60,60,60,60,67,Cmajor,65,Dminor
62,Bdiminished,62,59,65,62,62,67,Cmajor,62,Gmajor
64,Cmajor,64,60,67,64,64,60,Cmajor,60,Cmajor
64,Cmajor,64,60,67,64,64,62,Gmajor,60,Fmajor
67,Cmajor,64,60,67,67,67,62,Gmajor,60,Fmajor
64,Cmajor,60,60,60,64,64,60,Cmajor,60,Cmajor
62,Gmajor,60,59,62,62,62,60,Cmajor,60,Cmajor
60,Cmajor,60,60,60,60,60,60,Cmajor,60,Cmajor
60,Cmajor,60,60,60,60,60,60,Cmajor,60,Cmajor
62,Dminor,60,57,62,62,62,60,Cmajor,60,Cmajor
60,Cmajor,60,60,60,60,60,60,Cmajor,62,Gmajor
60,Cmajor,60,60,60,60,60,60,Cmajor,67,Gmajor
64,Amajor,60,64,64,64,64,60,Fmajor,67,Cmajor
62,Dmajor,60,62,62,62,62,64,Gmajor,67,Cmajor
62,Gmajor,60,59,62,62,62,67,Cmajor,67,Cother
67,Gmajor,62,59,62,62,62,67,Cmajor,64,Emajor
67,Cmajor,64,60,67,67,67,60,Fmajor,64,Aminor
67,Aminor,60,60,64,67,67,60,Cmajor,62,Gmajor
62,Gmajor,60,59,62,62,62,67,Cmajor,67,Cmajor
64,Aminor,64,60,64,64,64,62,Gmajor,66,Dmajor
62,Gmajor,62,59,62,62,62,67,Cmajor,67,Gmajor
64,Aminor,60,60,64,64,64,67,Cmajor,67,Cmajor
59,Gmajor,60,59,62,59,59,1000,Fmajor,1000,Dminor
57,Fmajor,60,60,60,60,60,60,Fmajor,67,Ediminished
60,Fmajor,60,60,60,60,60,60,Fmajor,60,Fmajor
60,Cother,59,60,60,59,60,59,Cmajor,60,Cmajor
55,Cmajor,55,60,55,55,55
