original,original_chord,simple2,simple3,simple1,simple7,simple6,viterbi4,viterbi4_chords
55,Cmajor,55,60,55,55,55,60,Cmajor
55,Cmajor,55,60,55,55,55,60,Cmajor
55,Gmajor,60,59,62,62,62,60,Cmajor
-62,Cmajor,60,60,60,60,60,59,Cmajor
62,Dminor,60,57,62,62,62,60,Fmajor
62,Gmajor,60,59,62,62,62,52,Cmajor
60,Cmajor,60,60,60,60,60,52,Cmajor
55,Cmajor,55,60,55,55,55,60,Fmajor
60,Cmajor,60,60,60,60,60,55,Cmajor
60,Cmajor,60,60,60,60,60,59,Gmajor
60,Cother,59,60,60,59,60,59,Cmajor
59,Gmajor,59,59,59,62,62,60,Cmajor
59,Cmajor,55,60,55,60,60,60,Dminor
57,Dmajor,59,62,57,57,57,55,Gmajor
55,Gmajor,55,59,55,55,55,60,Cmajor
50,Gmajor,50,59,50,50,50,60,Cmajor
55,Gmajor,59,59,59,55,55,60,Cmajor
55,Gmajor,59,59,59,55,55,62,Gmajor
55,Cmajor,60,60,60,55,55,60,Cmajor
55,Cother,55,60,55,55,55,60,Cmajor
55,Gother,54,67,55,54,55,60,Cmajor
54,Dmajor,54,62,54,54,54,50,Gmajor
50,Gmajor,50,59,50,50,50,52,Cmajor
-50,Gmajor,50,59,50,50,50,53,Fmajor
62,Gmajor,60,59,62,62,62,53,Fmajor
62,Gmajor,60,59,62,62,62,55,Cmajor
61,C#diminished,60,61,64,60,61,60,Cmajor
64,Amajor,60,64,64,64,64,59,Cmajor
64,Dminor,60,57,62,62,62,60,Fmajor
62,Gmajor,60,59,62,62,62,60,Fmajor
60,Cmajor,60,60,60,60,60,52,Cmajor
55,Cmajor,55,60,55,55,55,60,Fmajor
60,Cmajor,60,60,60,60,60,55,Cmajor
60,Aminor,60,60,60,60,60,59,Gmajor
57,Dmajor,59,62,57,57,57,59,Cmajor
59,Gmajor,59,59,59,62,62,60,Cmajor
59,Cmajor,55,60,55,60,60,60,Cmajor
57,Dmajor,59,62,57,57,57,55,Cmajor
55,Gmajor,55,59,55,55,55,60,Fmajor
50,Gmajor,50,59,50,50,50,62,Gmajor
55,Cmajor,55,60,55,55,55,60,Cmajor
59,Gmajor,59,59,59,59,59,60,Cmajor
60,Cmajor,60,60,60,60,60,62,Gmajor
60,Cmajor,60,60,60,60,60,55,Gmajor
60,Cmajor,60,60,60,60,60,55,Cmajor
59,Gmajor,59,59,59,59,59,59,Cmajor
55,Cmajor,55,60,55,55,55
