original,original_chord,simple2,simple3,simple1,simple7,simple6,viterbi4,viterbi4_chords,viterbi8,viterbi8_chords
-1000,1000,1000,1000,1000,1000,1000,64,Cmajor,64,Cmajor
-1000,1000,1000,1000,1000,1000,1000,69,Fmajor,67,Cmajor
-1000,1000,1000,1000,1000,1000,1000,60,Fmajor,67,Gmajor
67,Cmajor,64,60,67,67,67,60,Fmajor,67,Gmajor
67,Cmajor,64,60,67,67,67,64,Cmajor,67,Gmajor
-67,Cmajor,64,60,67,67,67,60,Fmajor,64,Cmajor
67,Gmajor,62,59,62,67,67,67,Cmajor,67,Cmajor
64,Aminor,60,60,64,64,64,60,Fmajor,67,Cmajor
-64,Aminor,60,60,64,64,64,60,Fmajor,67,Gmajor
67,Cmajor,60,60,60,64,64,60,Fmajor,67,Cmajor
64,Aminor,64,60,64,64,64,64,Gmajor,67,Cmajor
72,Cmajor,64,60,67,67,67,67,Cmajor,65,Gmajor
71,Gmajor,67,59,67,71,71,67,Cmajor,1000,Dmajor
67,Cmajor,67,60,67,67,67,60,Fmajor,74,Gmajor
-67,Cmajor,67,60,67,67,67,64,Gmajor,64,Gmajor
67,Cmajor,67,60,67,67,67,64,Cmajor,64,Cmajor
67,Cmajor,67,60,67,67,67,64,Cmajor,64,Cmajor
-67,Cmajor,67,60,67,67,67,69,Fmajor,67,Cmajor
67,Eminor,67,59,67,67,67,60,Fmajor,65,Gmajor
65,G#diminished,67,62,65,64,65,60,Fmajor,64,Cmajor
64,Emajor,67,59,64,64,64,64,Gmajor,67,Cmajor
64,Aminor,64,60,64,64,64,64,Cmajor,64,Cmajor
69,Fmajor,69,60,69,69,69,60,Fmajor,64,Cmajor
67,Cmajor,69,60,67,67,67,67,Cmajor,67,Cmajor
72,Cmajor,67,60,67,72,72,67,Gmajor,69,Fmajor
71,Gmajor,67,59,67,71,71,72,Cmajor,62,Dminor
-71,Gmajor,67,59,67,71,71,60,Fmajor,64,Gmajor
64,Aminor,64,60,64,64,64,64,Cmajor,64,Cmajor
67,Gmajor,67,59,67,67,67,64,Cmajor,64,Cmajor
-67,Eminor,67,59,67,67,67,69,Fmajor,72,Cmajor
67,Cmajor,67,60,67,67,67,60,Fmajor,67,Cmajor
68,Emajor,67,59,64,67,68,60,Fmajor,67,Cmajor
-68,G#diminished,67,62,65,68,68,60,Fmajor,67,Cmajor
69,Aminor,64,60,64,64,64,60,Fmajor,67,Cmajor
69,Fmajor,60,60,60,65,65,60,Fmajor,67,Cmajor
67,Eminor,62,59,67,67,67,60,Fmajor,65,Dminor
67,Eminor,62,59,67,67,67,60,Fmajor,64,Cmajor
67,Cmajor,64,60,67,67,67,67,Cmajor,65,Dminor
-67,Cmajor,64,60,67,67,67,60,Fmajor,62,Gmajor
67,Gmajor,67,59,67,67,67,62,Gmajor,62,Gmajor
67,Cmajor,67,60,67,67,67,62,Gmajor,62,Gmajor
-67,Cmajor,67,60,67,67,67,67,Cmajor,67,Cmajor
67,Cmajor,64,60,67,67,67,67,Cmajor,65,Fmajor
69,Dminor,67,57,65,69,69,65,Fmajor,67,Cmajor
67,Gmajor,67,59,67,67,67,60,Fmajor,67,Cmajor
72,Fmajor,69,60,69,60,60,1000,Fmajor,1000,Dminor
72,Cmajor,67,60,67,67,67,60,Fmajor,67,Ediminished
71,Gmajor,67,59,67,71,71,60,Fmajor,60,Fmajor
67,Gmajor,67,59,67,71,71,64,Cmajor,64,Cmajor
67,Cmajor,64,60,67,67,67
