original,original_chord,simple2,simple3,simple1,simple7,simple6,viterbi4,viterbi4_chords,viterbi8,viterbi8_chords
-1000,1000,1000,1000,1000,1000,1000,59,Cmajor,60,Cmajor
-1000,1000,1000,1000,1000,1000,1000,60,Cmajor,60,Cmajor
-1000,1000,1000,1000,1000,1000,1000,59,Cmajor,60,Cmajor
52,Cmajor,50,60,52,52,52,60,Cmajor,60,Cmajor
55,Cmajor,55,60,55,55,55,60,Cmajor,48,Fmajor
55,Gmajor,59,59,59,55,55,60,Cmajor,48,Cmajor
55,Cmajor,60,60,60,55,55,60,Fmajor,50,Gmajor
57,Fmajor,60,60,60,53,53,53,Fmajor,55,Aminor
60,Cmajor,60,60,60,60,60,53,Fmajor,53,Dminor
59,Gmajor,60,59,62,59,59,55,Cmajor,55,Gmajor
60,Cmajor,60,60,60,60,60,52,Cmajor,52,Cmajor
60,Fmajor,60,60,60,60,60,60,Fmajor,57,Fmajor
59,Gmajor,60,59,62,59,59,59,Cmajor,55,Cmajor
60,Fmajor,60,60,60,60,60,60,Cmajor,55,Cmajor
64,Cmajor,60,60,60,60,60,55,Gmajor,55,Cmajor
60,Fmajor,60,60,60,60,60,62,Gmajor,60,Cmajor
60,Dminor,59,57,57,60,60,60,Cmajor,60,Cmajor
59,Gmajor,59,59,59,59,59,59,Cmajor,60,Cmajor
55,Cmajor,55,60,55,55,55,60,Fmajor,60,Cmajor
52,Cmajor,50,60,52,52,52,60,Fmajor,60,Fmajor
55,Cmajor,55,60,55,55,55,60,Fmajor,60,Fmajor
55,Gmajor,59,59,59,55,55,60,Fmajor,60,Cmajor
55,Cmajor,60,60,60,55,55,55,Gmajor,55,Cmajor
57,Fmajor,60,60,60,53,53,59,Gmajor,60,Cmajor
60,Cmajor,60,60,60,60,60,59,Cmajor,60,Cmajor
59,Gmajor,60,59,62,59,59,60,Cmajor,60,Cmajor
60,Cmajor,60,60,60,60,60,60,Cmajor,60,Cmajor
60,Fmajor,60,60,60,60,60,60,Cmajor,60,Cmajor
59,Gmajor,60,59,62,59,59,60,Cmajor,60,Fmajor
60,Fmajor,60,60,60,60,60,62,Gmajor,62,Bdiminished
64,Cmajor,60,60,60,60,60,60,Cmajor,59,Emajor
60,Fmajor,60,60,60,60,60,60,Cmajor,57,Aminor
60,Dminor,59,57,57,60,60,60,Cmajor,55,Ediminished
59,Gmajor,59,59,59,59,59,62,Gmajor,57,Dminor
55,Cmajor,55,60,55,55,55,60,Cmajor,55,Cmajor
60,Cmajor,60,60,60,60,60,59,Cmajor,55,Cmajor
60,Fmajor,60,60,60,60,60,60,Fmajor,55,Cmajor
60,Dmajor,60,62,62,62,62,52,Cmajor,59,Gmajor
59,Gmajor,59,59,59,59,59,55,Gmajor,60,Cmajor
59,Gmajor,59,59,59,59,59,59,Gmajor,60,Cmajor
62,Gmajor,60,59,62,62,62,59,Cmajor,60,Cmajor
59,Eminor,60,59,59,60,59,60,Cmajor,60,Cmajor
57,Aminor,55,60,57,57,57,60,Cmajor,60,Cmajor
57,Aminor,60,60,60,57,57,60,Cmajor,60,Cmajor
57,Dmajor,59,62,57,57,57,60,Cmajor,60,Fmajor
55,Cother,55,60,55,54,55,62,Gmajor,62,Bdiminished
55,Gmajor,55,59,55,55,55,60,Cmajor,59,Emajor
55,Cmajor,55,60,55,55,55,60,Cmajor,57,Aminor
55,Aminor,54,60,55,55,55,60,Cmajor,55,Ediminished
54,Dmajor,54,62,54,54,54,62,Gmajor,57,Dminor
55,Gmajor,50,59,50,50,50,60,Cmajor,55,Cmajor
60,Cmajor,60,60,60,55,55,59,Cmajor,55,Cmajor
57,Fmajor,60,60,60,57,57,60,Fmajor,57,Fmajor
55,Cmajor,60,60,60,55,55,60,Fmajor,52,Cmajor
59,Gmajor,59,59,59,59,59,1000,Fmajor,1000,Dminor
60,Cmajor,60,60,60,60,60,60,Fmajor,67,Ediminished
60,Cother,59,60,60,59,60,60,Fmajor,60,Fmajor
59,Gmajor,59,59,59,59,59,59,Cmajor,60,Cmajor
55,Cmajor,55,60,55,55,55
