original,original_chord,simple2,simple3,simple1,simple7,simple6,viterbi4,viterbi4_chords,viterbi8,viterbi8_chords
-1000,1000,1000,1000,1000,1000,1000,59,Cmajor,60,Cmajor
-1000,1000,1000,1000,1000,1000,1000,60,Cmajor,60,Cmajor
-1000,1000,1000,1000,1000,1000,1000,59,Cmajor,60,Cmajor
52,Cmajor,50,60,52,52,52,60,Cmajor,60,Cmajor
55,Cmajor,55,60,55,55,55,60,Cmajor,48,Fmajor
55,Gmajor,59,59,59,55,55,60,Cmajor,48,Cmajor
60,Aminor,60,60,60,60,60,60,Fmajor,50,Gmajor
60,Fmajor,60,60,60,60,60,53,Fmajor,55,Aminor
60,Cmajor,60,60,60,59,60,53,Fmajor,53,Dminor
59,Gmajor,60,59,62,59,59,55,Cmajor,55,Gmajor
55,Cmajor,60,60,60,55,55,52,Cmajor,52,Cmajor
53,Fmajor,60,60,60,53,53,60,Fmajor,57,Fmajor
50,Gmajor,60,59,62,50,50,59,Cmajor,55,Cmajor
57,Fmajor,60,60,60,57,57,60,Cmajor,55,Cmajor
55,Cmajor,60,60,60,55,55,55,Gmajor,55,Cmajor
57,Dminor,59,57,57,57,57,62,Gmajor,60,Cmajor
55,Cmajor,60,60,60,55,55,60,Cmajor,60,Cmajor
-55,Gmajor,59,59,59,55,55,59,Cmajor,60,Cmajor
55,Cmajor,55,60,55,55,55,60,Fmajor,60,Cmajor
52,Cmajor,50,60,52,52,52,60,Fmajor,60,Fmajor
55,Cmajor,55,60,55,55,55,60,Fmajor,60,Fmajor
55,Gmajor,59,59,59,55,55,60,Fmajor,60,Cmajor
60,Aminor,60,60,60,60,60,55,Gmajor,55,Cmajor
60,Fmajor,60,60,60,60,60,59,Gmajor,60,Cmajor
60,Cmajor,60,60,60,59,60,60,Cmajor,60,Cmajor
59,Gmajor,60,59,62,59,59,59,Cmajor,60,Cmajor
55,Cmajor,60,60,60,55,55,60,Cmajor,62,Cmajor
53,Fmajor,60,60,60,53,53,60,Cmajor,62,Gmajor
50,Gmajor,60,59,62,50,50,60,Cmajor,60,Cmajor
57,Fmajor,60,60,60,57,57,62,Gmajor,60,Fmajor
55,Cmajor,60,60,60,55,55,60,Cmajor,60,Cmajor
57,Dminor,59,57,57,57,57,60,Cmajor,60,Cmajor
55,Cmajor,60,60,60,55,55,60,Cmajor,60,Cmajor
-55,Gmajor,59,59,59,55,55,60,Cmajor,60,Cmajor
55,Cmajor,55,60,55,55,55,60,Fmajor,60,Cmajor
60,Cmajor,60,60,60,60,60,59,Cmajor,55,Cmajor
60,Fmajor,60,60,60,60,60,60,Fmajor,55,Cmajor
62,Dmajor,60,62,62,62,62,52,Cmajor,59,Gmajor
59,Gmajor,59,59,59,59,59,55,Gmajor,60,Cmajor
59,Gmajor,59,59,59,59,59,59,Gmajor,60,Cmajor
60,Cmajor,60,60,60,60,60,60,Cmajor,60,Cmajor
60,Cmajor,60,60,60,60,60,59,Cmajor,60,Cmajor
57,Fmajor,55,60,57,57,57,60,Cmajor,62,Cmajor
60,Cmajor,60,60,60,60,60,60,Cmajor,62,Gmajor
60,Cother,59,60,60,59,60,60,Cmajor,60,Cmajor
57,Aminor,55,60,57,57,57,62,Gmajor,60,Fmajor
57,Gmajor,55,59,55,55,55,60,Cmajor,60,Cmajor
55,Cmajor,55,60,55,55,55,60,Cmajor,60,Cmajor
55,Aminor,54,60,55,55,55,60,Cmajor,60,Cmajor
54,Dmajor,54,62,54,54,54,60,Cmajor,60,Cmajor
50,Gmajor,50,59,50,50,50,60,Fmajor,60,Cmajor
52,Eminor,60,59,59,64,64,59,Cmajor,55,Cmajor
48,Fmajor,60,60,60,60,60,60,Fmajor,57,Fmajor
52,Cmajor,60,60,60,60,60,60,Fmajor,52,Cmajor
55,Cother,59,60,60,55,55,1000,Fmajor,1000,Dminor
55,Cmajor,60,60,60,55,55,60,Fmajor,67,Ediminished
57,Dminor,59,57,57,57,57,60,Fmajor,60,Fmajor
55,Gmajor,59,59,59,55,55,59,Cmajor,60,Cmajor
55,Cmajor,55,60,55,55,55
