original,original_chord,simple2,simple3,simple1,simple7,simple6,viterbi4,viterbi4_chords,viterbi8,viterbi8_chords
60,Cmajor,60,60,60,60,60,59,Cmajor,60,Cmajor
60,Aminor,64,60,64,60,60,60,Cmajor,60,Cmajor
60,Cmajor,60,60,60,60,60,60,Aminor,60,Cmajor
60,Fmajor,60,60,60,60,60,62,Dmajor,64,Cmajor
60,Cother,60,60,62,59,60,62,Gmajor,62,Dminor
59,Gmajor,60,59,62,59,59,60,Cmajor,65,Dminor
60,Cmajor,60,60,60,55,55,60,Cmajor,62,Gmajor
60,Cmajor,60,60,60,55,55,62,Gmajor,62,Gmajor
60,Cmajor,60,60,60,60,60,60,Cmajor,60,Cmajor
60,Cmajor,60,60,60,60,60,60,Cmajor,60,Fmajor
57,Dminor,60,57,62,57,57,62,Gmajor,62,Bdiminished
60,Cmajor,60,60,60,60,60,60,Cmajor,59,Emajor
60,Dminor,59,57,57,60,60,60,Cmajor,64,Aminor
59,Gmajor,59,59,59,59,59,62,Gmajor,64,Aminor
60,Cmajor,55,60,55,55,55,62,Gmajor,65,Dminor
-60,Cmajor,55,60,55,55,55,67,Cmajor,62,Gmajor
60,Cmajor,60,60,60,60,60,67,Cmajor,74,Cmajor
60,Aminor,64,60,64,60,60,67,Cmajor,64,Gmajor
60,Cmajor,60,60,60,60,60,60,Fmajor,60,Cmajor
60,Fmajor,60,60,60,60,60,62,Gmajor,60,Fmajor
60,Cother,60,60,62,59,60,64,Aminor,60,Fmajor
59,Gmajor,60,59,62,59,59,62,Dmajor,60,Cmajor
60,Cmajor,60,60,60,55,55,62,Gmajor,60,Cmajor
60,Cmajor,60,60,60,55,55,62,Gmajor,60,Cmajor
60,Cmajor,60,60,60,60,60,60,Cmajor,60,Cmajor
60,Cmajor,60,60,60,60,60,60,Cmajor,55,Cmajor
57,Dminor,60,57,62,57,57,60,Cmajor,57,Fmajor
60,Cmajor,60,60,60,60,60,59,Cmajor,55,Cmajor
60,Dminor,59,57,57,60,60,60,Fmajor,55,Cmajor
59,Gmajor,59,59,59,59,59,60,Fmajor,55,Cmajor
60,Cmajor,55,60,55,55,55,60,Fmajor,57,Fmajor
-60,Cmajor,55,60,55,55,55,59,Gmajor,60,Cmajor
59,Gmajor,59,59,59,59,59,59,Cmajor,60,Cmajor
59,Gmajor,59,59,59,59,59,60,Cmajor,60,Cmajor
60,Cmajor,60,60,60,60,60,60,Cother,60,Cmajor
59,Eminor,60,59,59,60,59,62,Gmajor,60,Cmajor
64,Aminor,60,60,60,64,64,60,Cmajor,60,Cmajor
62,Gother,60,67,62,62,62,60,Cmajor,60,Cmajor
59,Gmajor,60,59,62,59,59,60,Cmajor,60,Cmajor
59,Gmajor,60,59,62,59,59,60,Cmajor,60,Cmajor
62,Dminor,60,57,65,62,62,60,Cmajor,60,Cmajor
65,Dminor,60,57,65,62,62,60,Fmajor,60,Fmajor
64,Aminor,64,60,64,64,64,60,Fmajor,60,Cmajor
64,Aminor,64,60,64,64,64,64,Gmajor,60,Cmajor
64,Aother,62,64,64,64,64,60,Cmajor,59,Gmajor
-64,Emajor,62,59,68,64,64,55,Cmajor,55,Cmajor
60,Aminor,60,60,64,60,60,60,Fmajor,57,Fmajor
60,Aminor,60,60,64,60,60,59,Gmajor,60,Cmajor
60,Cmajor,60,60,60,60,60,59,Cmajor,60,Cmajor
60,Cmajor,60,60,60,60,60,60,Cmajor,60,Cmajor
60,Fmajor,60,60,60,60,60,60,Cother,60,Cmajor
59,Gmajor,60,59,62,59,59,62,Gmajor,60,Cmajor
60,Aminor,60,60,60,52,52,60,Cmajor,60,Cmajor
60,Dmajor,57,62,57,60,60,60,Cmajor,60,Cmajor
59,Gmajor,60,59,62,59,59,60,Cmajor,60,Cmajor
-59,Gmajor,60,59,62,59,59,60,Cmajor,60,Cmajor
60,Fmajor,60,60,60,60,60,60,Cmajor,60,Fmajor
60,Cmajor,60,60,60,60,60,62,Gmajor,65,Bdiminished
57,Dminor,60,57,62,57,57,60,Cmajor,64,Cmajor
60,Cmajor,60,60,60,60,60,67,Cmajor,62,Cother
60,Dminor,59,57,57,60,60,60,Fmajor,60,Cmajor
59,Gmajor,59,59,59,59,59,59,Cmajor,60,Cmajor
60,Cmajor,55,60,55,55,55
