original,original_chord,simple2,simple3,simple1,simple7,simple6,viterbi4,viterbi4_chords,viterbi8,viterbi8_chords
-1000,1000,1000,1000,1000,1000,1000,59,Cmajor,58,Gminor
-1000,1000,1000,1000,1000,1000,1000,60,Cmajor,48,Aminor
-1000,1000,1000,1000,1000,1000,1000,60,Aminor,64,Dminor
55,Cmajor,55,60,55,55,55,62,Dmajor,64,Aminor
55,Gmajor,60,59,62,62,62,62,Gmajor,67,Aminor
55,Cmajor,60,60,60,55,55,67,Cmajor,67,Gmajor
57,Aminor,55,60,57,57,57,60,Fmajor,67,Cmajor
60,Cmajor,60,60,60,60,60,55,Cmajor,55,Cmajor
60,Fmajor,60,60,60,60,60,60,Fmajor,57,Fmajor
60,Fmajor,60,60,60,60,60,59,Gmajor,60,Cmajor
60,Cmajor,60,60,60,60,60,59,Cmajor,60,Cmajor
62,Gmajor,60,59,62,62,62,60,Cmajor,60,Cmajor
64,Aminor,60,60,64,64,64,60,Cmajor,60,Cmajor
62,Bminor,62,62,62,62,62,59,Gmajor,59,Gmajor
60,Cmajor,64,60,67,67,67,59,Cmajor,60,Cmajor
62,Gmajor,62,59,62,62,62,60,Cmajor,60,Cmajor
60,Aminor,60,60,64,60,60,60,Cmajor,60,Cmajor
60,Dmajor,60,62,62,62,62,59,Gmajor,59,Gmajor
59,Gmajor,60,59,62,59,59,59,Cmajor,60,Cmajor
60,Cmajor,60,60,60,60,60,60,Cmajor,60,Cmajor
60,Fmajor,60,60,60,60,60,60,Cmajor,60,Cmajor
59,Gmajor,60,59,62,59,59,60,Cmajor,60,Cmajor
60,Fmajor,60,60,60,60,60,60,Dminor,60,Cmajor
60,Cmajor,60,60,60,60,60,62,Gmajor,60,Cmajor
60,Cother,59,60,60,59,60,60,Cmajor,60,Cmajor
59,Gmajor,59,59,59,59,59,60,Cmajor,60,Cmajor
60,Cmajor,55,60,55,60,60,60,Cmajor,60,Cmajor
55,Cmajor,55,60,55,55,55,60,Cmajor,55,Gmajor
55,Gmajor,60,59,62,62,62,60,Cmajor,57,Aminor
55,Cmajor,60,60,60,55,55,55,Cmajor,55,Cmajor
57,Aminor,55,60,57,57,57,60,Fmajor,57,Fmajor
60,Cmajor,60,60,60,60,60,59,Gmajor,60,Cmajor
60,Fmajor,60,60,60,60,60,59,Cmajor,60,Cmajor
60,Fmajor,60,60,60,60,60,60,Cmajor,60,Cmajor
60,Cmajor,60,60,60,60,60,60,Aminor,60,Cmajor
62,Gmajor,60,59,62,62,62,62,Dmajor,60,Cmajor
64,Aminor,60,60,64,64,64,62,Gmajor,60,Fmajor
62,Bminor,62,62,62,62,62,60,Cmajor,60,Cmajor
60,Cmajor,64,60,67,67,67,60,Cmajor,67,Gmajor
62,Gmajor,62,59,62,62,62,62,Gmajor,67,Aminor
60,Aminor,60,60,64,60,60,62,Gmajor,67,Aminor
60,Dmajor,60,62,62,62,62,67,Cmajor,67,Gmajor
