original_S,original_A,original_T,original_B,original_chord,simple2,simple3,simple1,simple7,simple6,viterbi4,viterbi4_chords
60,55,52,48,Cmajor,55,60,55,55,55,60,Cmajor
60,55,52,48,Cmajor,55,60,55,55,55,60,Cmajor
67,55,50,47,Gmajor,60,59,62,62,62,60,Cmajor
67,-62,52,48,Cmajor,60,60,60,60,60,59,Cmajor
65,62,57,48,Dminor,60,57,62,62,62,60,Fmajor
67,62,55,47,Gmajor,60,59,62,62,62,52,Cmajor
64,60,55,48,Cmajor,60,60,60,60,60,52,Cmajor
60,55,52,36,Cmajor,55,60,55,55,55,60,Fmajor
64,60,55,36,Cmajor,60,60,60,60,60,55,Cmajor
64,60,55,40,Cmajor,60,60,60,60,60,59,Gmajor
62,60,55,43,Cother,59,60,60,59,60,59,Cmajor
62,59,55,47,Gmajor,59,59,59,62,62,60,Cmajor
60,59,55,40,Cmajor,55,60,55,60,60,60,Dminor
62,57,50,42,Dmajor,59,62,57,57,57,55,Gmajor
59,55,50,43,Gmajor,55,59,55,55,55,60,Cmajor
55,50,47,31,Gmajor,50,59,50,50,50,60,Cmajor
62,55,47,43,Gmajor,59,59,59,55,55,60,Cmajor
62,55,50,47,Gmajor,59,59,59,55,55,62,Gmajor
64,55,48,48,Cmajor,60,60,60,55,55,60,Cmajor
60,55,50,43,Cother,55,60,55,55,55,60,Cmajor
57,55,50,50,Gother,54,67,55,54,55,60,Cmajor
-57,54,-50,38,Dmajor,54,62,54,54,54,50,Gmajor
55,50,47,43,Gmajor,50,59,50,50,50,52,Cmajor
-55,-50,-47,-43,Gmajor,50,59,50,50,50,53,Fmajor
67,62,59,43,Gmajor,60,59,62,62,62,53,Fmajor
67,62,59,-55,Gmajor,60,59,62,62,62,55,Cmajor
67,61,58,52,C#diminished,60,61,64,60,61,60,Cmajor
69,64,57,49,Amajor,60,64,64,64,64,59,Cmajor
65,64,57,50,Dminor,60,57,62,62,62,60,Fmajor
67,62,55,47,Gmajor,60,59,62,62,62,60,Fmajor
64,60,55,48,Cmajor,60,60,60,60,60,52,Cmajor
60,55,52,36,Cmajor,55,60,55,55,55,60,Fmajor
64,60,55,48,Cmajor,60,60,60,60,60,55,Cmajor
64,60,57,48,Aminor,60,60,60,60,60,59,Gmajor
62,57,54,48,Dmajor,59,62,57,57,57,59,Cmajor
62,59,55,47,Gmajor,59,59,59,62,62,60,Cmajor
60,59,55,40,Cmajor,55,60,55,60,60,60,Cmajor
62,57,50,42,Dmajor,59,62,57,57,57,55,Cmajor
59,55,50,43,Gmajor,55,59,55,55,55,60,Fmajor
55,50,47,31,Gmajor,50,59,50,50,50,62,Gmajor
60,55,48,40,Cmajor,55,60,55,55,55,60,Cmajor
62,59,55,43,Gmajor,59,59,59,59,59,60,Cmajor
64,60,55,40,Cmajor,60,60,60,60,60,62,Gmajor
67,60,52,36,Cmajor,60,60,60,60,60,55,Gmajor
64,60,55,43,Cmajor,60,60,60,60,60,55,Cmajor
62,59,55,31,Gmajor,59,59,59,59,59,59,Cmajor
60,55,52,36,Cmajor,55,60,55,55,55
