original_S,original_A,original_T,original_B,original_chord,simple2,simple3,simple1,simple7,simple6,viterbi4,viterbi4_chords,viterbi8,viterbi8_chords
-1000,-1000,-1000,-1000,1000,1000,1000,1000,1000,1000,67,Cmajor,65,Fmajor
-1000,-1000,-1000,-1000,1000,1000,1000,1000,1000,1000,67,Cmajor,67,Cmajor
-1000,-1000,-1000,-1000,1000,1000,1000,1000,1000,1000,60,Fmajor,64,Cmajor
69,64,60,45,Aminor,60,60,64,64,64,60,Fmajor,67,Cmajor
69,64,60,57,Aminor,60,60,64,64,64,67,Cmajor,64,Cmajor
72,67,64,52,Cmajor,64,60,67,67,67,60,Cmajor,60,Cmajor
71,67,62,55,Gmajor,62,59,62,67,67,60,Fmajor,74,Cother
69,64,60,57,Aminor,60,60,64,64,64,64,Gmajor,64,Gmajor
72,69,57,53,Fmajor,64,60,65,65,65,67,Cmajor,64,Cmajor
74,65,-60,50,Dminor,67,57,65,66,65,64,Cmajor,64,Cmajor
76,67,60,48,Cmajor,67,60,67,67,67,60,Fmajor,64,Cmajor
76,67,60,48,Cmajor,67,60,67,67,67,67,Cmajor,72,Cmajor
76,67,64,60,Cmajor,67,60,67,67,67,60,Fmajor,67,Cmajor
76,69,60,57,Aminor,67,60,69,69,69,60,Fmajor,67,Cmajor
79,71,62,55,Gmajor,67,59,67,71,71,60,Fmajor,67,Cmajor
76,72,60,57,Aminor,67,60,69,69,69,60,Fmajor,65,Gmajor
74,72,69,53,Dminor,67,57,65,72,72,60,Fmajor,64,Cmajor
74,71,67,55,Gmajor,67,59,67,71,71,67,Cmajor,62,Gmajor
72,67,64,48,Cmajor,64,60,67,67,67,64,Cmajor,64,Cmajor
72,69,64,57,Aminor,64,60,64,69,69,60,Fmajor,69,Fmajor
72,69,65,53,Fmajor,64,60,65,69,69,67,Cmajor,67,Cmajor
76,72,67,50,Cmajor,67,60,67,72,72,64,Gmajor,67,Cmajor
74,72,67,55,Cother,67,60,67,71,72,64,Gmajor,67,Cmajor
71,67,62,-55,Gmajor,62,59,62,67,67,64,Cmajor,67,Gmajor
72,67,60,52,Cmajor,64,60,67,67,67,64,Cmajor,64,Cmajor
74,67,-60,55,Cother,67,60,67,67,67,60,Fmajor,72,Cmajor
76,67,60,48,Cmajor,67,60,67,67,67,72,Cmajor,67,Cmajor
76,67,60,48,Cmajor,67,60,67,67,67,67,Cmajor,67,Cmajor
76,67,60,48,Cmajor,67,60,67,67,67,67,Cmajor,67,Cmajor
76,67,60,52,Cmajor,67,60,67,67,67,67,Cmajor,59,Gmajor
74,67,60,55,Cother,67,60,67,67,67,67,Cmajor,60,Cmajor
74,64,59,56,Emajor,67,59,64,64,64,64,Cmajor,64,Cmajor
72,64,59,57,Aminor,64,60,64,64,64,67,Cmajor,65,Dminor
-72,66,57,51,D#diminished,64,66,66,66,66,62,Gmajor,65,Dminor
67,64,59,52,Eminor,60,59,59,64,64,67,Cmajor,62,Gmajor
67,64,60,48,Cmajor,60,60,60,64,64,67,Cmajor,64,Cmajor
72,69,64,45,Aminor,64,60,64,69,69,60,Fmajor,57,Fmajor
76,72,60,57,Aminor,67,60,69,69,69,60,Fmajor,72,Cmajor
74,72,57,54,Dmajor,67,62,69,62,62,1000,Fmajor,1000,Dminor
76,71,64,56,Emajor,67,59,71,71,71,60,Fmajor,67,Ediminished
72,71,64,57,Aminor,64,60,64,69,69,60,Fmajor,60,Fmajor
71,-69,59,52,Aother,62,64,64,67,69,67,Cmajor,67,Gmajor
69,64,60,45,Aminor,60,60,64,64,64
