original_S,original_A,original_T,original_B,original_chord,simple2,simple3,simple1,simple7,simple6,viterbi4,viterbi4_chords,viterbi8,viterbi8_chords
64,60,55,48,Cmajor,60,60,60,60,60,59,Cmajor,55,Cmajor
62,59,55,43,Gmajor,59,59,59,59,59,60,Cmajor,55,Cmajor
60,57,52,45,Aminor,55,60,57,57,57,55,Cmajor,57,Fmajor
62,55,50,47,Gmajor,59,59,59,55,55,60,Cmajor,60,Cmajor
64,55,48,48,Cmajor,60,60,60,55,55,60,Cmajor,60,Cother
67,60,52,40,Cmajor,60,60,60,60,60,60,Cmajor,74,Gmajor
65,60,50,43,Dminor,60,57,62,59,60,60,Cmajor,72,Fmajor
-65,59,50,-43,Gmajor,60,59,62,59,59,59,Gmajor,59,Cmajor
64,60,48,36,Cmajor,60,60,60,55,55,59,Cmajor,59,Gmajor
-64,-60,-48,-36,Cmajor,60,60,60,55,55,60,Cmajor,62,Gmajor
67,62,55,47,Gmajor,60,59,62,62,62,60,Cmajor,60,Cmajor
64,60,55,48,Cmajor,60,60,60,60,60,60,Cmajor,62,Gmajor
65,60,57,45,Fmajor,60,60,60,60,60,60,Fmajor,60,Cmajor
64,60,55,48,Cmajor,60,60,60,60,60,60,Fmajor,60,Cmajor
60,57,57,41,Fmajor,55,60,57,57,57,59,Cmajor,60,Cmajor
64,60,55,40,Cmajor,60,60,60,60,60,60,Cmajor,62,Gmajor
62,60,55,43,Cother,59,60,60,59,60,60,Cmajor,60,Cmajor
-62,59,53,-43,Gmajor,59,59,59,59,59,62,Gmajor,60,Fmajor
60,55,52,36,Cmajor,55,60,55,55,55,62,Gmajor,60,Fmajor
-60,-55,-52,-36,Cmajor,55,60,55,55,55,60,Cmajor,64,Cmajor
64,60,55,48,Cmajor,60,60,60,60,60,67,Cmajor,59,Gmajor
62,59,55,43,Gmajor,59,59,59,59,59,67,Cmajor,60,Cmajor
60,57,52,45,Aminor,55,60,57,57,57,60,Fmajor,60,Cmajor
62,55,50,47,Gmajor,59,59,59,55,55,62,Gmajor,60,Fmajor
64,55,48,48,Cmajor,60,60,60,55,55,60,Cmajor,64,Cmajor
67,60,52,40,Cmajor,60,60,60,60,60,60,Cmajor,64,Aminor
65,60,50,43,Dminor,60,57,62,59,60,60,Cmajor,64,Ediminished
-65,59,50,-43,Gmajor,60,59,62,59,59,62,Gmajor,64,Amajor
64,60,48,36,Cmajor,60,60,60,55,55,62,Gmajor,65,Dminor
-64,-60,-48,-36,Cmajor,60,60,60,55,55,60,Cmajor,62,Gmajor
67,62,55,47,Gmajor,60,59,62,62,62,67,Cmajor,59,Gmajor
64,60,55,48,Cmajor,60,60,60,60,60,67,Cmajor,60,Cmajor
65,60,57,45,Fmajor,60,60,60,60,60,60,Fmajor,60,Cmajor
64,60,55,48,Cmajor,60,60,60,60,60,62,Gmajor,60,Fmajor
60,57,57,41,Fmajor,55,60,57,57,57,60,Cmajor,59,Gmajor
64,60,55,40,Cmajor,60,60,60,60,60,55,Cmajor,57,Fmajor
62,60,55,43,Cother,59,60,60,59,60,60,Fmajor,55,Cmajor
-62,59,53,-43,Gmajor,59,59,59,59,59,59,Gmajor,55,Cmajor
60,55,52,36,Cmajor,55,60,55,55,55,59,Cmajor,55,Cmajor
-60,-55,-52,-36,Cmajor,55,60,55,55,55,60,Cmajor,55,Cmajor
67,64,60,48,Cmajor,60,60,60,64,64,55,Cmajor,55,Cmajor
69,62,54,47,Bminor,60,62,62,62,62,60,Cmajor,60,Cmajor
72,60,57,45,Aminor,64,60,64,64,64,60,Cmajor,60,Cmajor
72,64,57,48,Aminor,64,60,64,64,64,60,Cmajor,60,Cmajor
71,64,55,52,Eminor,62,59,67,64,64,60,Cmajor,60,Cmajor
67,59,55,52,Eminor,60,59,59,60,59,60,Cmajor,60,Cmajor
69,64,55,48,Aminor,60,60,64,64,64,60,Cmajor,60,Cmajor
-69,62,54,50,Dmajor,60,62,62,62,62,60,Cmajor,62,Gmajor
67,59,55,43,Gmajor,60,59,62,59,59,60,Cmajor,60,Cmajor
-67,-59,-55,-43,Gmajor,60,59,62,59,59,60,Cmajor,60,Cmajor
67,60,52,48,Cmajor,60,60,60,60,60,60,Cmajor,55,Cmajor
69,60,53,41,Fmajor,60,60,60,60,60,59,Cmajor,55,Gmajor
72,64,55,40,Cmajor,64,60,67,60,60,55,Gmajor,55,Cmajor
72,64,55,40,Cmajor,64,60,67,60,60,59,Gmajor,55,Cmajor
71,62,59,43,Gmajor,62,59,62,62,62,60,Cmajor,55,Cmajor
67,62,62,47,Gmajor,60,59,62,65,65,55,Cmajor,55,Gmajor
69,62,55,50,Gother,60,67,67,60,62,60,Fmajor,55,Cmajor
-69,60,54,38,Dmajor,60,62,62,62,62,59,Gmajor,55,Cmajor
67,59,55,43,Gmajor,60,59,62,59,59,59,Cmajor,55,Cmajor
-67,-59,-55,-43,Gmajor,60,59,62,59,59,60,Cmajor,55,Cmajor
62,59,55,55,Gmajor,59,59,59,59,59,55,Cmajor,55,Cmajor
64,60,55,53,Cmajor,60,60,60,60,60,60,Cmajor,60,Cmajor
65,59,53,50,Bdiminished,60,59,59,57,59,60,Cmajor,60,Cmajor
65,62,50,48,Dminor,60,57,62,62,62,60,Cmajor,60,Cmajor
64,60,55,48,Cmajor,60,60,60,60,60,60,Cmajor,60,Cmajor
65,62,57,41,Dminor,60,57,62,60,62,60,Cmajor,60,Cmajor
62,59,59,43,Gmajor,59,59,59,62,55,60,Cmajor,60,Cmajor
62,59,55,43,Gmajor,59,59,59,59,59,60,Cmajor,62,Gmajor
67,59,55,40,Eminor,60,59,59,60,59,60,Cmajor,60,Cmajor
64,60,55,45,Aminor,60,60,60,60,60,60,Cmajor,55,Cmajor
65,60,53,38,Dminor,60,57,62,60,60,60,Cmajor,57,Fmajor
64,60,55,40,Cmajor,60,60,60,60,60,59,Cmajor,55,Cmajor
60,57,57,41,Fmajor,55,60,57,57,57,55,Gmajor,55,Cmajor
64,60,55,40,Cmajor,60,60,60,60,60,59,Gmajor,59,Gmajor
62,60,55,43,Cother,59,60,60,59,60,60,Cmajor,55,Cmajor
-62,59,53,-43,Gmajor,59,59,59,59,59,59,Cmajor,55,Cmajor
60,55,52,36,Cmajor,55,60,55,55,55
