original_S,original_A,original_T,original_B,original_chord,simple2,simple3,simple1,simple7,simple6,viterbi4,viterbi4_chords,viterbi8,viterbi8_chords
-1000,-1000,-1000,-1000,1000,1000,1000,1000,1000,1000,59,Cmajor,55,Cmajor
-1000,-1000,-1000,-1000,1000,1000,1000,1000,1000,1000,60,Cmajor,55,Cmajor
-1000,-1000,-1000,-1000,1000,1000,1000,1000,1000,1000,60,Cmajor,55,Cmajor
67,60,52,48,Cmajor,60,60,60,60,60,59,Cmajor,55,Cmajor
69,60,53,41,Dminor,60,57,65,60,60,52,Cmajor,52,Cmajor
67,59,50,43,Gmajor,60,59,62,59,59,50,Gmajor,52,Cmajor
64,60,57,45,Aminor,60,60,60,60,60,52,Cmajor,52,Cmajor
67,60,55,40,Cmajor,60,60,60,60,60,53,Fmajor,52,Fmajor
62,59,55,43,Gmajor,59,59,59,59,59,53,Dminor,53,Dminor
-62,-59,-55,-43,Gmajor,59,59,59,59,59,55,Gmajor,55,Gmajor
64,60,55,48,Cmajor,60,60,60,60,60,60,Cmajor,55,Cmajor
66,60,57,45,F#diminished,57,60,60,60,60,59,Cmajor,55,Cmajor
67,59,50,43,Gmajor,60,59,62,59,59,55,Gmajor,55,Gmajor
-67,-59,-50,-43,Gmajor,60,59,62,59,59,55,Gmajor,55,Gmajor
-67,-59,-50,-43,Gmajor,60,59,62,59,59,55,Cmajor,55,Cmajor
67,60,52,48,Cmajor,60,60,60,60,60,52,Cmajor,53,Bdiminished
69,60,53,41,Fmajor,60,60,60,60,60,53,Dminor,53,Fmajor
67,60,55,40,Cmajor,60,60,60,60,60,59,Gmajor,60,Cmajor
62,59,55,43,Gmajor,59,59,59,59,59,60,Cmajor,60,Cmajor
65,62,57,38,Dminor,60,57,62,62,62,60,Cmajor,60,Cmajor
64,60,55,40,Cmajor,60,60,60,60,60,60,Cmajor,60,Cmajor
62,59,55,43,Gmajor,59,59,59,59,59,60,Cmajor,55,Cmajor
60,55,52,36,Cmajor,55,60,55,55,55,60,Cmajor,57,Fmajor
-60,-55,-52,-36,Cmajor,55,60,55,55,55,59,Cmajor,55,Cmajor
-60,-55,-52,-36,Cmajor,55,60,55,55,55,55,Gmajor,54,Dmajor
60,55,52,48,Cmajor,55,60,55,55,55,50,Gmajor,50,Gmajor
62,55,50,47,Gmajor,59,59,59,55,55,52,Cmajor,55,Cmajor
65,60,57,45,Fmajor,60,60,60,60,60,50,Gmajor,50,Gmajor
64,60,55,48,Cmajor,60,60,60,60,60,52,Cmajor,50,Gmajor
67,-60,52,36,Cmajor,60,60,60,60,60,53,Fmajor,52,Aminor
-67,60,48,40,Cmajor,60,60,60,55,55,53,Fmajor,48,Fmajor
62,59,55,43,Gmajor,59,59,59,59,59,52,Cmajor,52,Cmajor
60,57,52,45,Aminor,55,60,57,57,57,55,Gmajor,57,Fmajor
59,55,50,47,Gmajor,55,59,55,55,55,59,Gmajor,59,Cmajor
57,-55,50,50,Gother,54,67,55,54,55,60,Cmajor,55,Cother
-57,54,-50,38,Dmajor,54,62,54,54,54,60,Cmajor,55,Gmajor
55,50,47,43,Gmajor,50,59,50,50,50,60,Cmajor,55,Cmajor
-55,-50,-47,-43,Gmajor,50,59,50,50,50,60,Cmajor,55,Gmajor
-55,-50,-47,-43,Gmajor,50,59,50,50,50,59,Cmajor,55,Cmajor
55,55,47,40,Eminor,50,59,55,55,55,55,Cmajor,55,Gmajor
60,57,48,45,Aminor,55,60,57,52,52,55,Gmajor,55,Cmajor
62,59,55,43,Gmajor,59,59,59,59,59,55,Gmajor,55,Cmajor
64,60,55,48,Cmajor,60,60,60,60,60,55,Cmajor,57,Fmajor
67,64,52,-48,Cmajor,60,60,60,60,60,59,Cmajor,60,Cmajor
67,64,49,45,Amajor,60,64,57,64,64,60,Cmajor,60,Cmajor
65,62,45,38,Dminor,60,57,62,62,62,60,Cmajor,60,Cmajor
64,60,44,40,Caugmented,60,60,60,60,60,59,Cmajor,60,Cmajor
62,57,45,41,Dminor,59,57,57,57,57,60,Cmajor,60,Fmajor
64,56,47,40,Emajor,60,59,59,56,56,62,Gmajor,60,Fmajor
-64,-56,-47,-40,Emajor,60,59,59,56,56,62,Gmajor,60,Cmajor
-64,-56,-47,-40,Emajor,60,59,59,56,56,60,Cmajor,60,Cmajor
64,57,48,45,Aminor,60,60,60,57,57,60,Cmajor,60,Cmajor
67,59,55,52,Eminor,60,59,59,60,59,60,Cmajor,62,Gmajor
69,62,53,50,Dminor,60,57,65,62,62,62,Gmajor,62,Gmajor
67,62,50,47,Gmajor,60,59,62,62,62,60,Cmajor,60,Cmajor
62,59,55,43,Gmajor,59,59,59,59,59,59,Cmajor,60,Cmajor
64,55,52,48,Cmajor,60,60,60,55,55,60,Cmajor,60,Cmajor
66,57,48,45,F#diminished,57,60,60,57,57,62,Gmajor,60,Fmajor
67,59,50,43,Gmajor,60,59,62,59,59,60,Cmajor,60,Cmajor
-67,-59,-50,-43,Gmajor,60,59,62,59,59,60,Cmajor,60,Cmajor
-67,-59,-50,-43,Gmajor,60,59,62,59,59,60,Cmajor,60,Cmajor
67,60,52,48,Cmajor,60,60,60,60,60,60,Cmajor,60,Cmajor
69,60,53,41,Fmajor,60,60,60,60,60,60,Cmajor,60,Cmajor
67,60,55,40,Cmajor,60,60,60,60,60,59,Cmajor,60,Cmajor
62,59,55,43,Gmajor,59,59,59,59,59,60,Cmajor,60,Cmajor
65,57,48,45,Fmajor,60,60,60,57,57,60,Cmajor,60,Cmajor
64,55,48,48,Cmajor,60,60,60,55,55,60,Cmajor,60,Cmajor
62,55,47,43,Gmajor,59,59,59,55,55,60,Cmajor,55,Cmajor
60,55,52,36,Cmajor,55,60,55,55,55,60,Cmajor,57,Fmajor
-60,-55,-52,-36,Cmajor,55,60,55,55,55,59,Cmajor,55,Cmajor
-60,-55,-52,-36,Cmajor,55,60,55,55,55,60,Fmajor,57,Fmajor
60,55,52,36,Cmajor,55,60,55,55,55,52,Cmajor,50,Gmajor
62,55,47,43,Gmajor,59,59,59,55,55,52,Cmajor,55,Cmajor
65,53,50,38,Dminor,60,57,62,57,57,50,Gmajor,52,Cmajor
64,57,48,45,Aminor,60,60,60,57,57,52,Cmajor,52,Cmajor
67,55,48,40,Cmajor,60,60,60,55,55,53,Fmajor,57,Fmajor
67,59,55,43,Gmajor,60,59,62,59,59,53,Fmajor,48,Fmajor
62,59,43,43,Gmajor,59,59,59,59,59,52,Cmajor,52,Cmajor
60,55,48,40,Cmajor,55,60,55,55,55,55,Gmajor,57,Fmajor
59,55,50,36,Gmajor,55,59,55,55,55,59,Gmajor,55,Cmajor
57,55,52,36,Aminor,54,60,55,55,55,60,Cmajor,55,Gmajor
-57,54,50,38,Dmajor,54,62,54,54,54,60,Cmajor,55,Gmajor
55,50,47,43,Gmajor,50,59,50,50,50,60,Cmajor,55,Cmajor
-55,-50,-47,-43,Gmajor,50,59,50,50,50,60,Cmajor,55,Gmajor
-55,-50,-47,-43,Gmajor,50,59,50,50,50,59,Gmajor,55,Gmajor
55,55,52,48,Cmajor,50,60,52,55,55,55,Gmajor,55,Gmajor
60,57,52,45,Aminor,55,60,57,57,57,55,Cmajor,55,Cmajor
62,59,55,43,Gmajor,59,59,59,59,59,55,Cmajor,55,Cmajor
64,60,55,40,Cmajor,60,60,60,60,60,60,Fmajor,57,Fmajor
67,-60,52,36,Cmajor,60,60,60,60,60,59,Gmajor,60,Cmajor
-67,64,57,37,Amajor,60,64,57,64,64,60,Cmajor,60,Cmajor
65,62,45,38,Dminor,60,57,62,62,62,60,Cmajor,59,Gmajor
64,60,48,40,Cmajor,60,60,60,55,55,59,Cmajor,60,Cmajor
62,57,50,41,Dminor,59,57,57,57,57,62,Dmajor,60,Cmajor
57,57,51,42,F#diminished,54,60,57,57,57,62,Gmajor,60,Fmajor
59,55,50,43,Gmajor,55,59,55,55,55,62,Gmajor,60,Cmajor
60,55,52,36,Cmajor,55,60,55,55,55,60,Cmajor,50,Gmajor
-60,-55,-52,-36,Cmajor,55,60,55,55,55,60,Cmajor,48,Cmajor
-60,-55,-52,-36,Cmajor,55,60,55,55,55,60,Cmajor,50,Gmajor
62,59,55,43,Gmajor,59,59,59,59,59,62,Gmajor,48,Cmajor
64,60,55,36,Cmajor,60,60,60,60,60,60,Fmajor,60,Cmajor
60,55,52,40,Cmajor,55,60,55,55,55,59,Gmajor,59,Gmajor
57,55,48,41,Fmajor,54,60,53,53,53,59,Cmajor,60,Cmajor
-57,53,-48,45,Fmajor,54,60,53,52,53,60,Cmajor,60,Cmajor
55,52,48,48,Cmajor,50,60,52,52,52,60,Cmajor,60,Cmajor
-55,-52,-48,-48,Cmajor,50,60,52,52,52,60,Cmajor,59,Gmajor
-55,-52,-48,-48,Cmajor,50,60,52,52,52,60,Fmajor,55,Cmajor
62,56,50,47,G#diminished,59,62,56,55,56,60,Fmajor,52,Aminor
64,57,48,45,Aminor,60,60,60,57,57,1000,Fmajor,1000,Dminor
-64,60,52,40,Cmajor,60,60,60,60,60,60,Fmajor,67,Ediminished
62,-60,55,43,Cother,59,60,60,59,60,60,Fmajor,60,Fmajor
-62,59,50,-43,Gmajor,59,59,59,59,59,59,Cmajor,55,Cmajor
60,55,52,36,Cmajor,55,60,55,55,55
