original_S,original_A,original_T,original_B,original_chord,simple2,simple3,simple1,simple7,simple6,viterbi4,viterbi4_chords,viterbi8,viterbi8_chords,simple2CHORD,simple3CHORD,simple1CHORD,simple7CHORD,simple6CHORD,viterbi4CHORD,viterbi8CHORD
-1000,-1000,-1000,-1000,1000,1000,1000,1000,1000,1000,60,Cmajor,55,Cmajor,Eother,Eother,Eother,Eother,Eother,Cmajor,Eminor
-1000,-1000,-1000,-1000,1000,1000,1000,1000,1000,1000,59,Cmajor,55,Cmajor,Eother,Eother,Eother,Eother,Eother,Eother,Eminor
-1000,-1000,-1000,-1000,1000,1000,1000,1000,1000,1000,60,Cmajor,55,Cmajor,Eother,Eother,Eother,Eother,Eother,Cmajor,Eminor
64,60,55,48,Cmajor,60,60,60,60,60,59,Cmajor,55,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
60,57,57,53,Fmajor,55,60,57,57,57,60,Fmajor,57,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor
62,59,55,52,Eminor,59,59,59,59,59,52,Cmajor,52,Cmajor,Eminor,Eminor,Eminor,Eminor,Eminor,Eminor,Eminor
64,60,52,48,Cmajor,60,60,60,55,55,52,Cmajor,52,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
67,64,-52,-48,Cmajor,60,60,60,60,60,55,Cmajor,55,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
65,64,48,45,Fmajor,60,60,60,57,57,57,Fmajor,57,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor,Fmajor
-65,62,55,47,Gmajor,60,59,62,62,62,60,Fmajor,60,Cmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor
64,60,55,48,Cmajor,60,60,60,60,60,59,Gmajor,60,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
64,60,55,48,Cmajor,60,60,60,60,60,62,Gmajor,60,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
67,60,55,52,Cmajor,60,60,60,60,60,60,Cmajor,60,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
67,60,55,40,Cmajor,60,60,60,60,60,60,Cmajor,60,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
62,59,55,43,Gmajor,59,59,59,59,59,60,Cmajor,60,Cmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Cother,Cother
64,55,55,40,Eminor,60,59,59,60,59,60,Cmajor,62,Gmajor,Cmajor,Eminor,Eminor,Cmajor,Eminor,Cmajor,Eminor
60,55,52,45,Aminor,55,60,57,57,57,60,Cmajor,60,Cmajor,Aminor,Aminor,Aminor,Aminor,Aminor,Aminor,Aminor
-60,54,48,-45,F#diminished,55,60,54,52,54,60,Cmajor,60,Cmajor,Aminor,Aminor,F#diminished,Aminor,F#diminished,Aminor,Aminor
59,55,50,43,Gmajor,55,59,55,55,55,60,Cmajor,57,Fmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor
55,59,53,43,Gmajor,50,59,50,59,59,59,Cmajor,59,Bdiminished,Gother,Gmajor,Gother,Gmajor,Gmajor,Gmajor,Gmajor
60,57,52,45,Aminor,55,60,57,57,57,60,Fmajor,60,Cmajor,Aminor,Aminor,Aminor,Aminor,Aminor,Aminor,Aminor
62,55,50,47,Gmajor,59,59,59,55,55,60,Fmajor,60,Cmajor,Bminor,Bminor,Bminor,Gmajor,Gmajor,Bminor,Bminor
64,55,48,48,Cmajor,60,60,60,55,55,59,Fmajor,59,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
65,57,48,41,Fmajor,60,60,60,57,57,60,Fmajor,60,Cmajor,Fother,Fother,Fother,Fmajor,Fmajor,Fother,Fother
62,59,55,43,Gmajor,59,59,59,59,59,60,Fmajor,60,Cmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Cother,Cother
-62,-59,-55,-43,Gmajor,59,59,59,59,59,60,Fmajor,60,Cmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Cother,Cother
-62,-59,-55,-43,Gmajor,59,59,59,59,59,60,Fmajor,60,Cmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Cother,Cother
64,59,52,44,Emajor,60,59,59,59,59,59,Cmajor,55,Cmajor,Caugmented,Emajor,Emajor,Emajor,Emajor,Emajor,Eother
60,57,52,45,Aminor,55,60,57,57,57,60,Fmajor,57,Fmajor,Aminor,Aminor,Aminor,Aminor,Aminor,Aminor,Aminor
62,55,50,47,Gmajor,59,59,59,55,55,52,Cmajor,52,Cmajor,Bminor,Bminor,Bminor,Gmajor,Gmajor,Eother,Eother
64,55,48,48,Cmajor,60,60,60,55,55,52,Cmajor,52,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
67,57,52,49,Amajor,60,64,57,57,57,55,Cmajor,55,Cmajor,Cmajor,C#diminished,Amajor,Amajor,Amajor,C#diminished,C#diminished
65,57,50,50,Dminor,60,57,62,57,57,57,Fmajor,57,Fmajor,Dminor,Dminor,Dminor,Dminor,Dminor,Dminor,Dminor
-65,62,53,38,Dminor,60,57,62,60,60,60,Fmajor,60,Cmajor,Dminor,Dminor,Dminor,Dminor,Dminor,Dminor,Dminor
64,61,57,45,Amajor,60,64,61,60,61,59,Gmajor,60,Cmajor,Aminor,Aother,Amajor,Aminor,Amajor,Aother,Aminor
64,60,57,57,Aminor,60,60,60,60,60,62,Gmajor,60,Cmajor,Aminor,Aminor,Aminor,Aminor,Aminor,Dother,Aminor
67,60,55,52,Cmajor,60,60,60,60,60,60,Cmajor,60,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
67,60,55,52,Cmajor,60,60,60,60,60,60,Cmajor,60,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
62,59,59,55,Gmajor,59,59,59,55,55,60,Cmajor,60,Cmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor
64,55,60,48,Cmajor,60,60,60,55,55,60,Cmajor,62,Gmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
60,55,48,45,Aminor,55,60,57,52,52,60,Cmajor,60,Cmajor,Aminor,Aminor,Aminor,Aminor,Aminor,Aminor,Aminor
-60,54,50,45,Dmajor,55,62,57,54,54,60,Cmajor,60,Cmajor,Aminor,Dother,Dother,Dmajor,Dmajor,Dother,Dother
59,55,50,43,Gmajor,55,59,55,55,55,60,Cmajor,57,Fmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor
55,50,47,41,Gmajor,50,59,50,50,50,59,Cmajor,55,Cmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor
60,55,48,40,Cmajor,55,60,55,55,55,60,Fmajor,57,Fmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Aminor
62,53,57,38,Dminor,59,57,57,53,53,60,Fmajor,59,Eminor,Bminor,Dother,Dother,Dminor,Dminor,Dother,Bminor
64,52,60,36,Cmajor,60,60,60,52,52,1000,Fmajor,1000,Dminor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
62,60,53,45,Dminor,59,57,57,59,60,60,Fmajor,67,Ediminished,Bdiminished,Dminor,Dminor,Bdiminished,Dminor,Dminor,Dminor
64,60,55,43,Cmajor,60,60,60,60,60,60,Fmajor,60,Fmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor
62,59,-55,43,Gmajor,59,59,59,59,59,59,Cmajor,55,Cmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gmajor,Gother
60,55,52,36,Cmajor,55,60,55,55,55,Cmajor,Cmajor,Cmajor,Cmajor,Cmajor,NOT_FOUND,NOT_FOUND
